CD_NOM;Nom scientifique;code_CATMINAT
80086;Acorus calamus L., 1753;05/3.0.2
81260;Alisma gramineum Lej., 1811;04/3.0.2.0.1
81263;Alisma lanceolatum With., 1796;05/3.0.2.0.1
81272;Alisma plantago-aquatica L., 1753;05/3.0.2
85486;Baldellia ranunculoides (L.) Parl., 1854;04/3.0.1
718909;Baldellia repens (Lam.) Ooststr., 1959;04/3.0.1
718211;Baldellia repens subsp. cavanillesii (Molina Abril, A.Galán, Pizarro & Sard.Rosc.) Talavera, 2008;04/3.0.1
87417;Caldesia parnassifolia (L.) Parl., 1860;05/3.0.2.0.1
94388;Damasonium alisma Mill., 1768;04/5.0.1
94392;Damasonium polyspermum Coss., 1849;04/5.0.2.0.1
106807;Luronium natans (L.) Raf., 1840;03/2.0.2.0.2
119850;Sagittaria graminea Michx., 1803;05/3.0.2
119854;Sagittaria latifolia Willd., 1805;05/3.0.2
119860;Sagittaria sagittifolia L., 1753;05/3.0.2
83232;Aponogeton distachyos L.f., 1782;03/2.0.1.0.1
84100;Arum cylindraceum Gasp., 1844;13/31.0.1.0.2
84110;Arum italicum Mill., 1768;10/3.0.1
84112;Arum maculatum L., 1753;10/3.0.1
84120;Arum pictum L.f., 1782;10/6.0.3.0.5
95425;Dracunculus vulgaris Schott, 1832;13/31.0.1.0.2
101107;Helicodiceros muscivorus (L.f.) Engl., 1879;13/31.0.1.0.1
82095;Ambrosina bassii L., 1764;10/6.0.3.0.4
83755;Arisarum vulgare O.Targ.Tozz., 1810;10/6.0.3
87450;Calla palustris L., 1753;05/3.0.5.0.1
447733;Pistia stratiotes L., 1753;03/2.0.1.0.1
130605;Zantedeschia aethiopica (L.) Spreng., 1826;05/3.0.2
105423;Lemna aequinoctialis Welw., 1859;03/1.0.1.0.1
105427;Lemna gibba L., 1753;03/1.0.1.0.1
105431;Lemna minor L., 1753;03/1.
105433;Lemna minuta Kunth, 1816;03/1.
105437;Lemna perpusilla Torr., 1843;03/1.0.1.0.1
105441;Lemna trisulca L., 1753;03/1.0.2.0.1
105442;Lemna turionifera Landolt, 1975;03/1.0.1.0.1
124707;Spirodela polyrhiza (L.) Schleid., 1839;03/1.
130119;Wolffia arrhiza (L.) Horkel ex Wimm., 1857;03/1.0.1.0.1
610602;Lysichiton americanus Hultén & H.St.John, 1931;10/3.0.1
87136;Butomus umbellatus L., 1753;05/3.0.2.0.1
93774;Cymodocea nodosa (Ucria) Asch., 1869;01/A12.0.1.0.2
95823;Egeria densa Planch., 1849;03/2.0.2
95979;Elodea callitrichoides (Rich.) Casp., 1857;03/2.0.2
95980;Elodea canadensis Michx., 1803;03/2.0.2
95983;Elodea nuttallii (Planch.) H.St.John, 1920;03/2.0.2
104805;Lagarosiphon major (Ridl.) Moss, 1928;03/2.0.2
109203;Najas flexilis Rostk. & W.L.E.Schmidt, 1824;03/4.0.1.0.2
109207;Najas gracillima (A.Braun ex Engelm.) Magnus, 1870;03/4.0.1.0.2
109208;Najas graminea Delile, 1813;03/4.0.1.0.2
109213;Najas marina L., 1753;03/4.0.1.0.2
137968;Najas marina subsp. marina L., 1753;03/4.0.1.0.2
137965;Najas marina subsp. armata (H.Lindb.) Horn, 1952;03/4.0.1.0.2
137966;Najas marina subsp. intermedia (Wolfg. ex Gorski) Casper, 1979;03/4.0.1.0.2
109215;Najas minor All., 1773;03/4.0.1.0.2
128504;Vallisneria spiralis L., 1753;03/2.0.1.0.1
103120;Hydrocharis morsus-ranae L., 1753;03/1.0.1.0.2
125219;Stratiotes aloides L., 1753;03/2.0.1.0.1
127537;Triglochin barrelieri Loisel., 1807;02/10.0.1.0.1
127545;Triglochin laxiflora Guss., 1825;04/4.0.1.0.1
127546;Triglochin maritima L., 1753;02/7.0.3
127547;Triglochin palustris L., 1753;06/1.1.2
115222;Posidonia oceanica (L.) Delile, 1813;01/A11.
81869;Althenia filiformis Petit, 1829;03/4.0.1.0.1
131262;Althenia filiformis subsp. filiformis Petit, 1829;03/4.0.1.0.1
100584;Groenlandia densa (L.) Fourr., 1869;03/2.0.2
115226;Potamogeton acutifolius Link, 1818;03/4.0.1.0.1
115228;Potamogeton alpinus Balb., 1804;03/2.0.2.0.1
115233;Potamogeton berchtoldii Fieber, 1838;03/4.0.1.0.1
115237;Potamogeton coloratus Hornem., 1813;03/2.0.1.0.2
115240;Potamogeton compressus L., 1753;03/4.0.1.0.1
115245;Potamogeton crispus L., 1753;03/2.0.1.0.1
115256;Potamogeton friesii Rupr., 1845;03/4.0.1.0.1
115258;Potamogeton gramineus L., 1753;03/2.0.2.0.1
115337;Potamogeton x bennettii Fryer, 1895;03/2.0.1.0.1
115342;Potamogeton x cooperi (Fryer) Fryer, 1897;03/2.0.1.0.1
115348;Potamogeton x fluitans Roth, 1788;03/2.0.2.0.4
115363;Potamogeton x nitens Weber, 1787;03/2.0.2.0.1
115371;Potamogeton x salicifolius Wolfg., 1827;03/2.0.1.0.1
115374;Potamogeton x sparganiifolius Laest. ex Fr., 1832;03/2.0.2.0.1
115376;Potamogeton x spathulatus Schrad., 1814;03/2.0.2.0.2
115382;Potamogeton x variifolius Thore, 1803;03/2.0.1.0.1
115384;Potamogeton x zizii W.D.J.Koch ex Roth, 1827;03/2.0.2.0.1
115270;Potamogeton lucens L., 1753;03/2.0.1.0.1
115280;Potamogeton natans L., 1753;03/2.0.1.0.1
115282;Potamogeton nodosus Poir., 1816;03/2.0.2.0.4
115286;Potamogeton obtusifolius Mert. & W.D.J.Koch, 1823;03/4.0.1.0.1
115296;Potamogeton perfoliatus L., 1753;03/2.0.1.0.1
115301;Potamogeton polygonifolius Pourr., 1788;03/2.0.2.0.2
115302;Potamogeton praelongus Wulfen, 1805;03/2.0.1.0.1
115305;Potamogeton pusillus L., 1753;03/4.0.1.0.1
115310;Potamogeton rutilus Wolfg., 1827;03/4.0.1.0.1
115326;Potamogeton trichoides Cham. & Schltdl., 1827;03/4.0.1.0.1
717572;Stuckenia filiformis (Pers.) Börner, 1912;03/2.0.2.0.1
717574;Stuckenia pectinata (L.) Börner, 1912;03/2.
130598;Zannichellia obtusifolia Talavera, García-Mur. & H.Smit, 1986;03/4.0.1.0.1
130599;Zannichellia palustris L., 1753;03/4.0.1.0.1
130601;Zannichellia pedunculata Rchb., 1829;03/4.0.1.0.1
130602;Zannichellia peltata Bertol., 1855;03/4.0.1.0.1
119688;Ruppia cirrhosa (Petagna) Grande, 1918;03/2.0.3.0.1
119691;Ruppia maritima L., 1753;03/2.0.3.0.1
121500;Scheuchzeria palustris L., 1753;06/1.3.2
126798;Tofieldia calyculata (L.) Wahlenb., 1812;06/1.1.2.0.1
126806;Tofieldia pusilla (Michx.) Pers., 1805;06/1.2.2
130673;Zostera marina L., 1753;01/A10.
621060;Zostera marina var. angustifolia Hornem., 1820;01/A10.0.1.0.1
108739;Molopospermum peloponnesiacum (L.) W.D.J.Koch, 1824;05/1.0.2.0.1
137873;Molopospermum peloponnesiacum subsp. peloponnesiacum (L.) W.D.J.Koch, 1824;05/1.0.2.0.1
82130;Ammi majus L., 1753;13/3.0.2
82692;Anethum graveolens L., 1753;13/4.0.2
83195;Apium graveolens L., 1753;12/1.2.2
98756;Foeniculum vulgare Mill., 1768;13/32.0.1.0.5
134696;Foeniculum vulgare subsp. vulgare Mill., 1768;13/32.0.1.0.5
134694;Foeniculum vulgare subsp. piperitum (Ucria) Bég., 1907;13/32.0.1.0.5
109455;Naufraga balearica Constance & Cannon, 1967;04/4.0.1.0.1
112821;Petroselinum crispum (Mill.) Fuss, 1866;13/27.0.1.0.1
612611;Petroselinum crispum subsp. crispum (Mill.) Fuss, 1866;13/27.0.1.0.1
117820;Ridolfia segetum (Guss.) Moris, 1842;13/3.0.2.0.3
611359;Stoibrax dichotomum (L.) Raf., 1840;13/3.0.2.0.7
129910;Visnaga daucoides Gaertn., 1788;13/4.0.3.0.1
87020;Bupleurum alpigenum Jord. & Fourr., 1866;10/2.0.2.0.2
87021;Bupleurum angulosum L., 1753;08/20.0.2.0.4
87027;Bupleurum baldense Turra, 1764;08/71.0.2.0.2
87037;Bupleurum corsicum Coss. & Kralik, 1849;09/1.0.3.0.1
87044;Bupleurum falcatum L., 1753;10/2.0.1
87051;Bupleurum fruticosum L., 1753;15/6.0.1.0.4
87053;Bupleurum gerardi All., 1773;08/71.0.2
87065;Bupleurum lancifolium Hornem., 1813;13/3.0.2.0.3
87068;Bupleurum longifolium L., 1753;10/2.0.1.0.6
132350;Bupleurum longifolium subsp. longifolium L., 1753;10/2.0.1.0.6
87074;Bupleurum odontites L., 1753;08/71.0.2
87082;Bupleurum petraeum L., 1753;08/2.2.1.0.10
87085;Bupleurum praealtum L., 1756;13/3.0.2.0.7
87091;Bupleurum ranunculoides L., 1753;09/20.0.1
132356;Bupleurum ranunculoides subsp. ranunculoides L., 1753;09/20.0.1
613679;Bupleurum ranunculoides var. ranunculoides L., 1753;09/20.0.1.0.1
144859;Bupleurum ranunculoides var. gramineum (Vill.) Lapeyr. ex Briq., 1897;09/20.0.1.0.5
132357;Bupleurum ranunculoides subsp. telonense (Gren. ex Timb.-Lagr.) H.J.Coste, 1893;09/3.1.1
87093;Bupleurum rigidum L., 1753;09/10.0.1
132358;Bupleurum rigidum subsp. rigidum L., 1753;09/10.0.1
87095;Bupleurum rotundifolium L., 1753;13/3.0.2.0.1
87098;Bupleurum semicompositum L., 1756;08/71.0.1
87100;Bupleurum stellatum L., 1753;08/2.1.1.0.5
87102;Bupleurum subovatum Link ex Spreng., 1813;13/3.0.2.0.3
87106;Bupleurum tenuissimum L., 1753;08/71.0.1
160519;Bupleurum virgatum Cav., 1791;13/5.
80322;Aegopodium podagraria L., 1753;13/2.0.1.0.1
89250;Carum carvi L., 1753;12/1.1.1.0.2
97956;Falcaria vulgaris Bernh., 1800;13/26.0.1.0.2
85997;Bifora radians M.Bieb., 1819;13/3.0.2.0.3
85999;Bifora testiculata (L.) Spreng., 1820;13/3.0.2.0.3
92465;Coriandrum sativum L., 1753;13/4.0.2
95697;Echinophora spinosa L., 1753;02/5.0.1.0.2
92237;Conium maculatum L., 1753;13/2.0.1.0.5
92486;Coristospermum ferulaceum (All.) Reduron, Charpin & Pimenov, 1997;08/21.0.1.0.10
92487;Coristospermum lucidum (Mill.) Reduron, Charpin & Pimenov, 1997;09/20.0.1.0.1
133431;Coristospermum lucidum subsp. lucidum (Mill.) Reduron, Charpin & Pimenov, 1997;09/20.0.1.0.1
94653;Dethawia splendens (Lapeyr.) Kerguélen, 1993;09/3.1.1.0.1
133806;Dethawia splendens subsp. splendens (Lapeyr.) Kerguélen, 1993;09/3.1.1.0.1
98032;Ferulago campestris (Besser) Grecescu, 1898;13/32.0.1.0.5
609224;Gasparrinia peucedanoides (M.Bieb.) Thell., 1926;10/2.0.1.0.1
104456;Katapsuxis silaifolia (Jacq.) Raf., 1840;10/2.0.1.0.1
104713;Kundmannia sicula (L.) DC., 1830;09/10.0.1.0.1
105857;Levisticum officinale W.D.J.Koch, 1824;05/1.0.1.0.1
108454;Meum athamanticum Jacq., 1776;09/1.0.2
610917;Mutellina adonidifolia (J.Gay) Gutermann, 2006;05/1.0.1.0.6
108918;Mutellina corsica (J.Gay) Reduron, Pimenov & M.V.Leonov, 1997;09/1.0.3
110735;Opopanax chironium (L.) W.D.J.Koch, 1824;13/27.0.1.0.1
112011;Pachypleurum mutellinoides (Crantz) Holub, 1983;11/7.0.1.0.1
115797;Prangos trifida (Mill.) Herrnst. & Heyn, 1977;13/27.0.3
116339;Ptychotis saxifraga (L.) Loret & Barrandon, 1876;08/21.0.1
613124;Ptychotis saxifraga var. saxifraga (L.) Loret & Barrandon, 1876;08/21.0.1
613585;Ptychotis saxifraga var. bipinnata (Noulet) Reduron, 2008;08/21.0.1
123367;Silaum silaus (L.) Schinz & Thell., 1915;06/1.1.2.0.5
613607;Silaum silaus var. silaus (L.) Schinz & Thell., 1915;06/1.1.2.0.5
613609;Silaum silaus var. angustifolium (Wallr.) Thell., 1926;10/2.0.2.0.3
85798;Berula erecta (Huds.) Coville, 1893;04/1.0.1.0.1
608144;Caropsis verticillato-inundata (Thore) Rauschert, 1982;04/3.0.1.0.1
91199;Cicuta virosa L., 1753;05/3.0.5.0.1
101217;Helosciadium crassipes W.D.J.Koch, 1824;04/4.
101220;Helosciadium inundatum (L.) W.D.J.Koch, 1824;04/3.0.1.0.2
101221;Helosciadium nodiflorum (L.) W.D.J.Koch, 1824;04/1.0.1.0.1
101223;Helosciadium repens (Jacq.) W.D.J.Koch, 1824;04/3.0.1.0.2
109861;Oenanthe aquatica (L.) Poir., 1798;05/3.0.2.0.1
109864;Oenanthe crocata L., 1753;05/2.0.1
109869;Oenanthe fistulosa L., 1753;12/1.2.2
109870;Oenanthe fluviatilis (Bab.) Coleman, 1844;03/2.0.2.0.4
109871;Oenanthe foucaudii Tess., 1884;05/2.0.2.0.2
109874;Oenanthe globulosa L., 1753;12/1.2.2.2.4
109881;Oenanthe lachenalii C.C.Gmel., 1805;06/1.1.2
109890;Oenanthe peucedanifolia Pollich, 1776;12/1.2.1.1.1
109893;Oenanthe pimpinelloides L., 1753;12/1.1.1.0.1
109898;Oenanthe silaifolia M.Bieb., 1819;12/1.2.1.2.1
123960;Sium latifolium L., 1753;05/3.0.2.0.1
127864;Trocdaris verticillatum (L.) Raf., 1840;06/1.1.1.0.1
113577;Pimpinella lutea Desf., 1798;13/31.
113579;Pimpinella major (L.) Huds., 1762;12/1.1.1.0.2
113586;Pimpinella peregrina L., 1753;13/27.
113596;Pimpinella saxifraga L., 1753;09/3.
138811;Pimpinella saxifraga subsp. saxifraga L., 1753;09/3.
612282;Pimpinella saxifraga subsp. nigra (Mill.) Thell., 1926;09/3.
113599;Pimpinella tragium Vill., 1779;08/1.0.3.0.1
113346;Physospermum cornubiense (L.) DC., 1830;05/1.0.1.0.5
114062;Pleurospermum austriacum (L.) Hoffm., 1814;05/1.0.1.0.1
82136;Ammoides pusilla (Brot.) Breistr., 1947;08/71.0.1
86982;Bunium alpinum Waldst. & Kit., 1805;09/1.0.3.0.1
132330;Bunium alpinum subsp. corydalinum (DC.) Nyman, 1879;09/1.0.3.0.1
86983;Bunium bulbocastanum L., 1753;13/27.0.2.0.1
144832;Bunium bulbocastanum var. bulbocastanum L., 1753;13/27.0.2.0.1
144833;Bunium bulbocastanum var. nanum Cariot & St.-Lag., 1889;13/27.0.2.0.1
86997;Bunium pachypodum P.W.Ball, 1968;13/27.0.2.0.3
93190;Crithmum maritimum L., 1753;02/9.
93723;Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson, 1925;13/4.
123773;Sison amomum L., 1753;13/27.0.1.0.1
123785;Sison segetum L., 1753;13/3.0.1.0.3
82931;Anthriscus caucalis M.Bieb., 1808;13/5.
143623;Anthriscus caucalis var. caucalis M.Bieb., 1808;13/5.
143624;Anthriscus caucalis var. gymnocarpa (Moris) Cannon, 1967;13/5.
82932;Anthriscus cerefolium (L.) Hoffm., 1814;13/4.0.1.0.1
143625;Anthriscus cerefolium var. cerefolium (L.) Hoffm., 1814;13/4.0.1.0.1
82943;Anthriscus nitida (Wahlenb.) Hazsl., 1864;05/2.0.3
82952;Anthriscus sylvestris (L.) Hoffm., 1814;13/2.0.1.0.1
131460;Anthriscus sylvestris subsp. sylvestris (L.) Hoffm., 1814;13/2.0.1.0.1
131456;Anthriscus sylvestris subsp. alpina (Vill.) Gremli, 1874;12/1.1.2.0.1
143632;Anthriscus sylvestris var. alpina (Vill.) Gremli, 1874;12/1.1.2.0.1
84962;Athamanta cretensis L., 1753;08/2.2.1.0.10
89415;Caucalis platycarpos L., 1753;13/3.0.2.0.1
90328;Chaerophyllum aureum L., 1762;13/2.0.1.0.1
90330;Chaerophyllum bulbosum L., 1753;13/2.0.1.0.1
90335;Chaerophyllum elegans Gaudin, 1828;05/1.0.1
90338;Chaerophyllum hirsutum L., 1753;05/2.0.3
90344;Chaerophyllum nodosum (L.) Crantz, 1767;13/5.0.1
90356;Chaerophyllum temulum L., 1753;13/2.0.1.0.2
90359;Chaerophyllum villarsii W.D.J.Koch, 1837;05/1.0.1.0.1
92242;Conopodium majus (Gouan) Loret, 1886;10/1.0.1.0.3
92245;Conopodium pyrenaeum (Loisel.) Miégev., 1874;09/1.0.2.0.7
94497;Daucus aureus Desf., 1798;13/4.0.3
611233;Daucus bicolor Sm., 1821;13/4.0.3
94503;Daucus carota L., 1753;13/27.0.1
133731;Daucus carota subsp. carota L., 1753;13/27.0.1
613496;Daucus carota var. carota L., 1753;13/27.0.1
133732;Daucus carota subsp. commutatus (Paol.) Thell., 1926;13/27.0.1
133733;Daucus carota subsp. drepanensis (Arcang.) Heywood, 1968;02/9.
133735;Daucus carota subsp. gadecaei (Rouy & E.G.Camus) Heywood, 1968;02/8.0.1.0.2
133736;Daucus carota subsp. gummifer (Syme) Hook.f., 1884;02/8.0.1.0.2
133737;Daucus carota subsp. hispanicus (Gouan) Thell., 1926;02/9.0.1.0.1
133740;Daucus carota subsp. maritimus (Lam.) Batt., 1889;08/16.0.1
133741;Daucus carota subsp. maximus (Desf.) Ball, 1878;13/32.0.1.0.5
613495;Daucus carota var. mauritanicus (L.) Spreng., 1820;13/31.
133744;Daucus carota subsp. sativus (Hoffm.) Schübl. & G.Martens, 1834;13/27.0.1
94539;Daucus muricatus (L.) L., 1762;08/70.0.2
160253;Distichoselinum tenuifolium (Lag.) García-Martín & Silvestre, 1983;13/31.
95844;Elaeoselinum meoides (Desf.) Koch ex DC., 1830;07/3.0.1
98014;Ferula arrigonii Bocchieri, 1989;13/32.0.1
98020;Ferula communis L., 1753;13/32.0.1.0.5
134477;Ferula communis subsp. communis L., 1753;13/32.0.1.0.5
612467;Ferula communis subsp. catalaunica (Pau ex C.Vicioso) A.Sánchez-Cux. & M.Bernal, 1998;13/32.0.1.0.5
98023;Ferula glauca L., 1753;13/32.0.1.0.3
610575;Ferula tingitana L., 1753;13/32.0.1.0.5
105055;Laser trilobum (L.) Borkh. ex G.Gaertn., B.Mey. & Scherb., 1799;10/2.0.1.0.8
105071;Laserpitium gallicum L., 1753;08/20.0.2
105074;Laserpitium halleri Crantz, 1767;09/1.0.2.0.5
137102;Laserpitium halleri subsp. halleri Crantz, 1767;09/1.0.2.0.5
137101;Laserpitium halleri subsp. cynapiifolium (Viv. ex DC.) P.Fourn., 1937;08/2.1.1.0.7
105076;Laserpitium latifolium L., 1753;08/21.0.1.0.6
718371;Laserpitium latifolium subsp. latifolium L., 1753;08/21.0.1.0.6
105081;Laserpitium nestleri Soy.-Will., 1828;09/3.1.1.0.3
718372;Laserpitium nestleri subsp. nestleri Soy.-Will., 1828;09/3.1.1.0.3
105086;Laserpitium prutenicum L., 1753;06/1.1.2.0.5
137107;Laserpitium prutenicum subsp. prutenicum L., 1753;06/1.1.2.0.5
137106;Laserpitium prutenicum subsp. dufourianum (Rouy & E.G.Camus) Braun-Blanq., 1929;06/1.1.1.0.1.1
105092;Laserpitium siler L., 1753;10/2.0.1.0.6
109161;Myrrhis odorata (L.) Scop., 1771;13/2.0.1.0.4
111297;Orlaya grandiflora (L.) Hoffm., 1814;13/3.0.2.0.1
111301;Orlaya platycarpos W.D.J.Koch, 1824;13/3.0.2.0.3
116210;Pseudorlaya pumila (L.) Grande, 1925;08/5.
613123;Pseudorlaya pumila var. pumila (L.) Grande, 1925;08/5.
718758;Pseudorlaya pumila var. microcarpa (Loret & Barrandon) Reduron, 2008;08/5.
118900;Rouya polygama (Desf.) Coincy, 1901;08/16.0.1
121430;Scandix australis L., 1753;13/4.0.2.0.1
140743;Scandix australis subsp. australis L., 1753;13/4.0.2.0.1
140747;Scandix australis subsp. grandiflora (L.) Thell., 1926;13/4.0.2.0.1
121449;Scandix pecten-veneris L., 1753;13/3.0.2
140752;Scandix pecten-veneris subsp. pecten-veneris L., 1753;13/3.0.2
140749;Scandix pecten-veneris subsp. brachycarpa (Guss.) Thell., 1926;13/3.0.2
140750;Scandix pecten-veneris subsp. hispanica (Boiss.) Bonnier & Layens, 1894;13/3.0.2.0.3
121455;Scandix stellata Banks & Sol., 1794;08/71.0.2
126248;Thapsia villosa L., 1753;13/31.
611567;Torilis africana Spreng., 1815;13/3.0.2.0.1
613703;Torilis africana var. africana Spreng., 1815;13/3.0.2.0.1
613702;Torilis africana var. heterophylla (Guss.) Reduron, 2008;13/4.0.2
126846;Torilis arvensis (Huds.) Link, 1821;13/3.0.2.0.1
141793;Torilis arvensis subsp. arvensis (Huds.) Link, 1821;13/3.0.2.0.1
141797;Torilis arvensis subsp. neglecta (Rouy & E.G.Camus) Thell., 1912;13/3.0.2.0.1
126859;Torilis japonica (Houtt.) DC., 1830;13/4.0.1.0.1
126861;Torilis leptophylla (L.) Rchb.f., 1867;13/4.0.2
126865;Torilis nodosa (L.) Gaertn., 1788;13/4.0.2.0.2
141803;Torilis nodosa subsp. nodosa (L.) Gaertn., 1788;13/4.0.2.0.2
141805;Torilis nodosa subsp. webbii (Jury) Kerguélen, 1998;13/4.0.2.0.2
127988;Turgenia latifolia (L.) Hoffm., 1814;13/3.0.2.0.1
80358;Aethusa cynapium L., 1753;13/3.0.2.0.5
130873;Aethusa cynapium subsp. cynapium L., 1753;13/3.0.2.0.5
611902;Aethusa cynapium subsp. elata (Friedl. ex Hoffm.) Schübl. & G.Martens, 1834;13/2.0.1.0.2
82705;Angelica archangelica L., 1753;05/2.0.2.0.1
131413;Angelica archangelica subsp. archangelica L., 1753;05/2.0.2.0.1
131414;Angelica archangelica subsp. litoralis (Fr.) Thell., 1926;05/3.0.3.0.1
82715;Angelica heterocarpa J.Lloyd, 1859;05/2.0.2.0.2
82733;Angelica razulii Gouan, 1773;12/1.1.2.0.1.1
82738;Angelica sylvestris L., 1753;05/2.
159536;Angelica sylvestris subsp. sylvestris L., 1753;05/2.
612392;Angelica sylvestris subsp. bernardae Reduron, 2007;05/2.0.3.0.1
90278;Cervaria rivini Gaertn., 1788;10/2.0.2.0.3
717749;Dichoropetalum carvifolia (Vill.) Pimenov & Kljuykov, 2007;12/1.1.1.0.2.1
717750;Dichoropetalum schottii (Besser ex DC.) Pimenov & Kljuykov, 2007;10/2.0.2.0.1
96079;Endressia pyrenaica (J.Gay ex DC.) J.Gay, 1832;11/5.0.1.0.3
96119;Epikeros pyrenaeus (L.) Raf., 1840;06/1.1.1.0.1.2
103578;Imperatoria ostruthium L., 1753;05/1.0.1
104440;Kadenia dubia (Schkuhr) Lavrova & V.N.Tikhom., 1986;12/1.2.2.1.2
610580;Libanotis pyrenaica (L.) O.Schwarz, 1949;10/2.0.1
612646;Libanotis pyrenaica subsp. pyrenaica (L.) O.Schwarz, 1949;10/2.0.1
111250;Oreoselinum nigrum Delarbre, 1800;10/2.0.1.0.2
112853;Peucedanum gallicum Latourr., 1785;10/1.0.1.0.3
112868;Peucedanum officinale L., 1753;10/2.0.1
613154;Peucedanum officinale var. officinale L., 1753;10/2.0.1
112874;Peucedanum paniculatum Loisel., 1807;09/2.
116297;Pteroselinum austriacum (Jacq.) Rchb., 1832;10/2.0.1.0.1
122326;Selinum broteri Hoffmanns. & Link, 1824;06/1.1.1.0.1
122329;Selinum carvifolia (L.) L., 1762;06/1.1.2.0.5
122998;Seseli annuum L., 1753;09/3.2
141033;Seseli annuum subsp. annuum L., 1753;09/3.2
611924;Seseli annuum subsp. carvifolium (Vill.) P.Fourn., 1937;09/3.2
123015;Seseli djianeae Gamisans, 1972;08/2.1.1.0.7
123023;Seseli galloprovinciale Reduron, 1993;09/10.0.1.0.1
123034;Seseli longifolium L., 1759;09/10.
141041;Seseli longifolium subsp. longifolium L., 1759;09/10.
123037;Seseli montanum L., 1753;09/3.
141045;Seseli montanum subsp. montanum L., 1753;09/3.
161795;Seseli montanum subsp. nanum (Dufour) O.Bolòs & Vigo, 1974;11/7.0.1.0.2
123045;Seseli praecox (Gamisans) Gamisans, 1985;02/9.0.1.0.2
123058;Seseli tortuosum L., 1753;09/10.0.1.0.1
126613;Thysselinum lancifolium (Hoffmanns. & Link ex Lange) Calest., 1905;06/1.1.1.0.1.1
126615;Thysselinum palustre (L.) Hoffm., 1814;05/3.0.5.0.1
127595;Trinia glauca (L.) Dumort., 1827;09/3.1
127865;Trochiscanthes nodiflora (All.) W.D.J.Koch, 1824;13/8.0.3.0.1
130497;Xanthoselinum alsaticum (L.) Schur, 1866;10/2.
142499;Xanthoselinum alsaticum subsp. alsaticum (L.) Schur, 1866;10/2.
160516;Xanthoselinum alsaticum var. alsaticum (L.) Schur, 1866;10/2.0.1
613627;Xanthoselinum alsaticum var. discolor Reduron, 2008;10/2.0.2.0.3
142500;Xanthoselinum alsaticum subsp. venetum (Spreng.) Reduron, Charpin & Pimenov, 1997;10/2.0.1
130509;Xatardia scabra (Lapeyr.) Meisn., 1838;08/20.0.1.0.3
107152;Magydaris pastinacea (Lam.) Paol. & Bég., 1900;13/31.
124003;Smyrnium olusatrum L., 1753;13/31.0.1.0.2
124004;Smyrnium perfoliatum L., 1753;13/31.
612649;Smyrnium perfoliatum subsp. perfoliatum L., 1753;13/31.0.1.0.2
141259;Smyrnium perfoliatum subsp. rotundifolium (Mill.) Bonnier & Layens, 1894;13/31.
101262;Heracleum alpinum L., 1753;05/1.0.1.0.1
101286;Heracleum mantegazzianum Sommier & Levier, 1895;13/2.0.1.0.1
101295;Heracleum pumilum Vill., 1779;08/20.0.2
101296;Heracleum pyrenaicum Lam., 1785;05/1.0.1.0.1
101299;Heracleum sibiricum L., 1753;13/2.0.1.0.1
612486;Heracleum sibiricum subsp. sibiricum L., 1753;13/2.0.1.0.1
101300;Heracleum sphondylium L., 1753;13/2.0.1.0.1
135306;Heracleum sphondylium subsp. sphondylium L., 1753;13/2.0.1.0.1
135297;Heracleum sphondylium subsp. elegans (Crantz) Schübl. & G.Martens, 1834;05/1.0.1.0.1
611067;Pastinaca kochii Duby, 1828;13/27.
612647;Pastinaca kochii subsp. kochii Duby, 1828;13/27.
612648;Pastinaca kochii subsp. latifolia (Duby) Reduron, 2008;13/27.
112550;Pastinaca sativa L., 1753;13/27.0.1.0.1
138623;Pastinaca sativa subsp. sativa L., 1753;13/27.0.1.0.1
613556;Pastinaca sativa var. arvensis Pers., 1805;13/27.0.1.0.1
621718;Pastinaca sativa var. pratensis Pers., 1805;13/27.0.1.0.1
138626;Pastinaca sativa subsp. urens (Req. ex Godr.) Celak., 1875;13/31.
126829;Tordylium apulum L., 1753;13/4.0.3
126837;Tordylium maximum L., 1753;13/27.
84936;Astrantia major L., 1753;05/1.0.2.0.1
131933;Astrantia major subsp. major L., 1753;05/1.0.2.0.1
131932;Astrantia major subsp. involucrata (W.D.J.Koch) Ces., 1844;05/1.0.2.0.1
84937;Astrantia minor L., 1753;09/1.0.2
97133;Eryngium alpinum L., 1753;09/20.0.1.0.7
97140;Eryngium bourgatii Gouan, 1773;09/20.0.1.0.6
97141;Eryngium campestre L., 1753;09/3.
97142;Eryngium giganteum M.Bieb., 1808;09/3.1.3.0.1
97145;Eryngium maritimum L., 1753;02/5.
97147;Eryngium pusillum L., 1753;04/4.0.1.0.1
97148;Eryngium spinalba Vill., 1779;08/20.0.2
97152;Eryngium viviparum J.Gay, 1848;04/3.0.1.0.2
120772;Sanicula europaea L., 1753;10/3.
100779;Hedera algeriensis Hibberd, 1864;07/5.
100781;Hedera canariensis Willd., 1808;07/5.
100787;Hedera helix L., 1753;07/5.
100788;Hedera hibernica (G.Kirchn.) Bean, 1914;07/5.
103139;Hydrocotyle ranunculoides L.f., 1782;04/1.
103142;Hydrocotyle vulgaris L., 1753;06/1.1
113785;Pittosporum tobira (Thunb.) W.T.Aiton, 1811;15/6.
113786;Pittosporum undulatum Vent., 1802;19/2.
