rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;6153;36661;02/1.0.1.0.1;Juncus ranarius E.P.Perrier & Songeon;européen septentrional;cyme de glomérules;hermaphrodite;;anémogame;capsule;épizoochore;vert;;;;;test;thérophytaie;annuelles eutrophiles des laisses de mer vasicoles, européo-atlantiques;Atriplicion littoralis (Nordhagen 1940) Tüxen 1950;;;;;9;4;1;8;7;8;7;8;4;2;9;6;x;8;4;3;4;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Juncaceae;0;0;582;;;Juncus ranarius
esp;2305;8367;02/1.0.1.0.2;Atriplex glabriuscula Edmondston;atlantique septentrional;épi de cymes triflores;monoïque;;autogame, entomogame;akène;épizoochore;vert;;8-10;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;9;4;1;8;6;7;7;7;6;1;9;6;4;7=;7;9;3;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;4088;;;Atriplex glabriuscula
subsp;1573;11763;02/1.0.1.0.2;Cakile maritima subsp. integrifolia (Hornem.) Hyl. ex Greuter & Burdet;atlantique;racème simple;hermaphrodite;homogame;entomogame, autogame;silique;anémochore;blanc, rose;;5-10;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;9;6;1;7;5;8;8;7;4;1;9;6;x;6=;x;8;4;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Brassicales;Brassicaceae;0;0;10006;;;Cakile mar. integrifolia *
esp;4238;51666;02/1.0.1.0.2;Polygonum raii Bab.;européen;épi de cymes triflores;hermaphrodite;;autogame;akène;barochore;blanc, rose;;6-10;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;8;4;1;3;5;7;7;5;6;1;9;6;4;7=;7;8;1;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Polygonaceae;0;0;4353;;;Polygonum oxy. raii
esp;14555;65005;02/1.0.1.0.2;Solanum triflorum Nutt.;introduit (Amér. du nord);cyme unipare scorpioïde;hermaphrodite;;entomogame;baie;endozoochore;blanc;;;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;9;7;1;7;5;8;7;6;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Solanales;Solanaceae;0;0;10007;;;Solanum triflorum
var;5586;65007;02/1.0.1.0.2;Solanum triflorum Nutt. var. triflorum;introduit (Amér. du nord);cyme unipare scorpioïde;hermaphrodite;;entomogame;baie;endozoochore;blanc;;;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;9;7;1;7;5;8;7;6;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Solanales;Solanaceae;0;0;10007;;;Solanum triflorum
var;8013;65006;02/1.0.1.0.2;Solanum triflorum var. ponticum (Prodan) Borza;introduit (Amér. du nord);cyme unipare scorpioïde;hermaphrodite;;entomogame;baie;endozoochore;blanc;;;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, européo-atlantiques;Atriplici laciniatae - Kalion sodae (Tüxen 1950) Géhu 1975;;;;;9;7;1;7;5;8;7;6;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Solanales;Solanaceae;0;0;12760;;;Solanum triflorum v. ponticum *
subsp;8871;11765;02/1.0.1.0.3;Cakile maritima Scop. subsp. maritima;méditerranéen occidental;racème simple;hermaphrodite;homogame;entomogame, autogame;silique;anémochore;blanc, rose;;5-10;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, méditerranéennes;Euphorbion peplidis Tüxen 1950;;;;;9;8;1;7;5;8;8;7;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Brassicales;Brassicaceae;0;0;7447;;;Cakile maritima
esp;2725;25994;02/1.0.1.0.3;Euphorbia peplis L.;méditerranéen-atlantique;cyathe;monoïque;;entomogame;capsule;barochore;jaune;;5-9;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, méditerranéennes;Euphorbion peplidis Tüxen 1950;;;;;9;8;1;8;6;7;7;7;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Malpighiales;Euphorbiaceae;0;0;10009;;;Euphorbia peplis
subsp(uni);4223;51359;02/1.0.1.0.3;Polygonum arenarium subsp. pulchellum (Loisel.) Thell.;méditerranéen septentrional;épi de cymes triflores;hermaphrodite;;autogame;akène;barochore;rose;;6-10;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, méditerranéennes;Euphorbion peplidis Tüxen 1950;;;;;9;8;1;8;6;7;7;7;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Polygonaceae;0;0;10010;;;Polygonum are. pulchellum
esp;13375;51357;02/1.0.1.0.3;Polygonum arenarium Waldst. & Kit. ;méditerranéen septentrional;épi de cymes triflores;hermaphrodite;;autogame;akène;barochore;rose;;;;;test;thérophytaie;annuelles eutrophiles des laisses de mer arénicoles, méditerranéennes;Euphorbion peplidis Tüxen 1950;;;;;9;6;1;7;5;8;8;7;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Polygonaceae;0;0;12761;;;Polygonum arenarium
esp;2368;30815;02/10.;Halimione portulacoides (L.) Aellen;circumboréal;épi de cymes triflores;monoïque;;anémogame;akène;hydrochore;jaune;;7-10;;;cfru-semp;chaméphytaie;micromangroves (chaméphytaies maritimes);Sarcocornietea fruticosae Braun-Blanquet & Tüxen 1943 ex A. & O. de Bolòs 1950;;;;;8;9;1;8;8;8;7;8;2;3;9;6;x;7=;x;7;8;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;4248;;;Halimione portulacoides
esp;974;38989;02/10.;Limbarda crithmoides (L.) Dumort.;méditerranéen-atlantique;corymbe de capitules;hermaphrodite;protandre;entomogame, autogame;akène;anémochore;jaune;;8-9;;;csuf;hémicryptophytaie;micromangroves (chaméphytaies maritimes);Sarcocornietea fruticosae Braun-Blanquet & Tüxen 1943 ex A. & O. de Bolòs 1950;;;;;9;6;1;6;6;8;8;5;4;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;12828;;;Inula crithmoides
subsp;12285;101242;02/10.;Limbarda crithmoides (L.) Dumort. subsp. crithmoides;atlantique;corymbe de capitules;hermaphrodite;protandre;entomogame, autogame;akène;anémochore;jaune;;8-9;;;csuf;hémicryptophytaie;micromangroves (chaméphytaies maritimes);Sarcocornietea fruticosae Braun-Blanquet & Tüxen 1943 ex A. & O. de Bolòs 1950;;;;;9;6;1;6;6;8;8;5;4;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;12828;;;Inula crithmoides
subsp;975;101243;02/10.;Limbarda crithmoides subsp. longifolia (Arcang.) Greuter;méditerranéen;corymbe de capitules;hermaphrodite;protandre;entomogame, autogame;akène;anémochore;jaune;;8-9;;;csuf;chaméphytaie;micromangroves (chaméphytaies maritimes);Sarcocornietea fruticosae Braun-Blanquet & Tüxen 1943 ex A. & O. de Bolòs 1950;;;;;8;9;1;8;8;8;7;8;2;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;10202;;;Inula cri. longifolia *
