rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;2493;62155;08/70.0.1.1;Sedum andegavense (DC.) Desv.;méditerranéen-atlantique;cyme multipare;hermaphrodite;;entomogame;follicule;barochore;blanc;;4-6;;;test-suc;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;Brometalia rubenti - tectorum Rivas-Martínez & Izco 1977;;;8;7;3;4;3;2;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;;Superrosids;;;Saxifragales;Crassulaceae;0;0;10987;;;Sedum andegavense
esp;30366;75374;08/70.0.1.1;Silene colorata Poir. ;méditerranéen;cyme bipare;hermaphrodite;;entomogame;capsule;anémochore;;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;8;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;13771;;;Silene colorata
subsp(uni);2202;64042;08/70.0.1.1;Silene colorata Poir. subsp. colorata;méditerranéen;cyme bipare;hermaphrodite;;entomogame;capsule;anémochore;;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;8;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;13771;;;Silene colorata
esp;1816;67153;08/70.0.1.1;Teesdalia coronopifolia (J.P.Bergeret) Thell.;méditerranéen occidental;racème simple;hermaphrodite;;entomogame;silique;anémochore;blanc;;3-5;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;8;3;3;3;2;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Brassicales;Brassicaceae;0;0;10988;;;Teesdalia coronopifolia
esp;14806;68513;08/70.0.1.1;Tolpis barbata (L.) Gaertn.;méditerranéen;racème de capitules;hermaphrodite;;entomogame, autogame;akène;épizoochore;jaune;;;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;8;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;3234;;;Tolpis barbata
esp;1271;68529;08/70.0.1.1;Tolpis umbellata Bertol.;méditerranéen;racème de capitules;hermaphrodite;;entomogame, autogame;akène;épizoochore;jaune;;;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;8;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;13773;;;Tolpis umbellata
esp;3155;69123;08/70.0.1.1;Trifolium glomeratum L.;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;rose;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes;Tolpido barbatae - Tuberarienalia guttatae de Foucault 1999;;;;;8;7;3;4;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1725;;;Trifolium glomeratum
esp;30910;76385;08/70.0.1.1.1;Ctenopsis cynosuroides (Desf.) Paunero ex Romero García;introduit (Maghreb);épi d'épillets;hermaphrodite;;autogame;caryopse;épizoochore;vert;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, oligotrophiles;Hispidello hispanicae - Ctenopsion delicatulae de Foucault 1999;;;;;9;9;3;3;3;2;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;13774;;;Ctenopsis cynosuroides *
esp;7773;76387;08/70.0.1.1.1;Ctenopsis delicatula (Lag.) Paunero;méditerranéen;épi d'épillets;hermaphrodite;;autogame;caryopse;épizoochore;vert;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, oligotrophiles;Hispidello hispanicae - Ctenopsion delicatulae de Foucault 1999;;;;;8;8;4;3;3;2;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;13775;;;Ctenopsis delicatula
esp;6752;20637;08/70.0.1.1.1;Cynosurus echinatus L.;méditerranéen;panicule d'épillets;hermaphrodite;;anémogame;caryopse;épizoochore;vert;;4-7;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, oligotrophiles;Hispidello hispanicae - Ctenopsion delicatulae de Foucault 1999;;;;;8;8;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;237;;;Cynosurus echinatus
esp;14840;69428;08/70.0.1.1.1;Trifolium striatum L.;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;rose;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, oligotrophiles;Hispidello hispanicae - Ctenopsion delicatulae de Foucault 1999;;;;;8;7;3;4;3;2;1;1;4;1;8;7;3;3;2;1;1;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1727;;;Trifolium striatum
subsp;5536;71416;08/70.0.1.1.1;Veronica verna subsp. brevistyla (Moris) Rouy;orophyte corso-sarde;fleur solitaire latérale;hermaphrodite;;entomogame;capsule;épizoochore;bleu;;4-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, oligotrophiles;Hispidello hispanicae - Ctenopsion delicatulae de Foucault 1999;;;;;8;2;3;4;3;3;2;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Plantaginaceae;0;0;10990;;;Veronica ver. brevistyla *
esp;5309;9263;08/70.0.1.1.2;Bartsia trixago L.;méditerranéen(eury);racème simple;hermaphrodite;;entomogame;capsule;épizoochore;blanc, jaune, rose;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, subhygrophiles;Crassulo tillaeae - Sedion caespitosi (Rivas-Martínez 1978) de Foucault 1999;;;;;8;7;3;5;3;3;2;1;5;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Orobanchaceae;0;0;4513;;;Bellardia trixago
esp;2481;19340;08/70.0.1.1.2;Crassula tillaea Lest.-Garl.;méditerranéen(eury)-atlantique(eury);glomérules;hermaphrodite;;entomogame;follicule;barochore;blanc;;4-6;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, subhygrophiles;Crassulo tillaeae - Sedion caespitosi (Rivas-Martínez 1978) de Foucault 1999;;;;;8;7;3;5;6;3;3;0;4;4;8;7;2;7;x;3;0;Magnoliopsida;Magnoliidae;Eudicots;;Superrosids;;;Saxifragales;Crassulaceae;0;0;4174;;;Crassula tillaea
esp;30157;75165;08/70.0.1.1.2;Herniaria cinerea DC. ;eurasiatique tempéré;glomérules;hermaphrodite;;entomogame;capsule;barochore;vert;;5-8;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, subhygrophiles;Crassulo tillaeae - Sedion caespitosi (Rivas-Martínez 1978) de Foucault 1999;;;;;9;6;4;3;3;3;3;0;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;10991;;;Herniaria cinerea *
esp;2500;62185;08/70.0.1.1.2;Sedum caespitosum (Cav.) DC.;méditerranéen;cyme multipare;hermaphrodite;;entomogame;follicule;barochore;blanc;;4-6;;;tver-suc;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, subhygrophiles;Crassulo tillaeae - Sedion caespitosi (Rivas-Martínez 1978) de Foucault 1999;;;;;8;8;4;3;2;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;;Superrosids;;;Saxifragales;Crassulaceae;0;0;10992;;;Sedum caespitosum
esp;2268;65566;08/70.0.1.1.2;Spergula pentandra L.;européen méridional;cyme bipare;hermaphrodite;;entomogame;capsule;anémochore;blanc;;3-5;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, subhygrophiles;Crassulo tillaeae - Sedion caespitosi (Rivas-Martínez 1978) de Foucault 1999;;Spergulo pentandrae - Veronicion dillenii (Oberdorfer 1957) de Foucault 1999;;;9;6;4;3;3;3;2;0;4;1;9;6;4;2;6;1;0;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;1076;;;Spergula pentandra
esp;8565;2215;08/70.0.1.1.3;Aira cupaniana Guss. ;méditerranéen occidental;panicule d'épillets;hermaphrodite;;anémogame;caryopse;épizoochore;vert;;4-5;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;9;8;4;3;3;3;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;10993;;;Aira cupaniana
esp;6614;2357;08/70.0.1.1.3;Airopsis tenella (Cav.) Asch. & Graebn.;méditerranéen occidental;panicule d'épillets;hermaphrodite;;anémogame;caryopse;épizoochore;vert;;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;9;8;4;3;3;3;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;10995;;;Airopsis tenella
esp;2833;9861;08/70.0.1.1.3;Biserrula pelecinus L.;méditerranéen;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;blanc;bleu;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;8;4;3;3;3;6;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;10996;;;Biserrula pelecinus
esp;6679;10493;08/70.0.1.1.3;Briza minor L.;méditerranéen-atlantique;panicule d'épillets;hermaphrodite;;anémogame;caryopse;barochore;vert;;5-8;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;3;5;6;4;6;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;10997;;;Briza minor
écoph;6929;nc;08/70.0.1.1.3;Gaudinia fragilis (L.) P.Beauv. écoph. annuel;méditerranéen(eury);panicule d'épillets;hermaphrodite;;anémogame;caryopse;épizoochore;vert;;4-8;;;test(hbis);thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;4;5;5;5;6;0;3;3;8;6;3;5~;x;7;0;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;245;;;Gaudinia fragilis
esp;1053;39594;08/70.0.1.1.3;Logfia gallica (L.) Coss. & Germ.;méditerranéen(eury)-atlantique(eury);capitule de capitules;gynomonoïque;;entomogame, autogame;akène;barochore;jaune;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;Sileno sedoidis - Catapodion marini de Foucault & Bioret 2010 ;;;;8;7;3;3;2;5;1;0;4;4;9;8;2;2;6;1;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Asterales;Asteraceae;0;0;3045;;;Logfia gallica
esp;3001;40079;08/70.0.1.1.3;Lotus parviflorus Desf.;méditerranéen-atlantique;ombelle simple;hermaphrodite;;entomogame;gousse;épizoochore;jaune;;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;7;7;3;6;7;4;4;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;10998;;;Lotus parviflorus
esp;3101;46549;08/70.0.1.1.3;Ornithopus compressus L.;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;jaune;;4-6;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;3;4;3;4;3;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;4518;;;Ornithopus compressus
esp;3103;46571;08/70.0.1.1.3;Ornithopus pinnatus (Mill.) Druce;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;jaune;;4-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;3;4;3;4;3;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;10999;;;Ornithopus pinnatus
hyb;13121;46560;08/70.0.1.1.3;Ornithopus x martinii Giraudias ex Rouy [Ornithopus compressus L. x Ornithopus perpusillus L.];méditerranéen;racème capituliforme;hermaphrodite;;entomogame, autogame;gousse;épizoochore;;;;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;3;4;3;4;3;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;13777;;;Ornithopus x martinii *
esp;30285;75293;08/70.0.1.1.3;Plantago bellardii All. ;méditerranéen;épi simple;hermaphrodite;;anémogame;akène;barochore;blanc;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;8;3;3;3;4;3;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Plantaginaceae;0;0;11000;;;Plantago bellardii
esp;4107;50111;08/70.0.1.1.3;Plantago weldenii Rchb. ;méditerranéen(eury);épi simple;hermaphrodite;;anémogame;akène;barochore;;;;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;8;4;3;3;4;3;0;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Lamiales;Plantaginaceae;0;0;13779;;;Plantago weldenii *
esp;2213;64121;08/70.0.1.1.3;Silene gallica L.;méditerranéen(eury);cyme bipare;hermaphrodite;protandre;entomogame, autogame;capsule;anémochore;blanc, rose;;5-9;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;7;7;3;4;4;4;6;0;3;4;7;7;3;4;7;6;0;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;958;;;Silene gallica
esp;3144;69023;08/70.0.1.1.3;Trifolium bocconei Savi;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;rose;;6-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;7;4;3;3;3;4;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;11001;;;Trifolium gemellum
esp;3147;69060;08/70.0.1.1.3;Trifolium cherleri L.;méditerranéen;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;blanc;;5-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;8;3;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;11002;;;Trifolium cherleri
esp;3153;69212;08/70.0.1.1.3;Trifolium micranthum Viv.;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame, autogame;gousse;épizoochore;jaune;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;Brachypodietalia distachyi Rivas-Martínez 1978;;;;8;7;4;4;6;3;3;0;4;4;9;6;3;7~;x;x;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1712;;;Trifolium micranthum
esp;3176;69259;08/70.0.1.1.3;Trifolium ornithopodioides L.;méditerranéen-atlantique;racème capituliforme;hermaphrodite;;entomogame;gousse;épizoochore;blanc;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;9;7;4;4;6;3;3;0;4;4;9;6;2;3;x;?;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;4459;;;Trifolium ornithopodioides
esp;7201;72870;08/70.0.1.1.3;Vulpia ligustica (All.) Link;méditerranéen central;épi d'épillets;hermaphrodite;;autogame;caryopse;épizoochore;vert;;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, thermophiles, mésoméditerranéennes, xérophiles, mésotrophiles;Vulpion ligusticae Aubert & Loisel 1971;;;;;8;8;4;4;6;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;328;;;Vulpia ligustica
esp;6606;2117;08/70.0.1.2;Aira armoricana F.Albers;atlantique;panicule d'épillets;hermaphrodite;protandre;anémogame;caryopse;épizoochore;vert;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;11003;;;Aira armoricana *
esp;6607;2284;08/70.0.1.2;Aira multiculmis Dumort.;européen occidental;panicule d'épillets;hermaphrodite;protandre;anémogame;caryopse;épizoochore;vert;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;4;3;3;3;3;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;11004;;;Aira car. multiculmis
esp;6610;2294;08/70.0.1.2;Aira praecox L.;atlantique(eury);panicule d'épillets;hermaphrodite;protandre;anémogame;caryopse;épizoochore;vert;;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;9;6;3;2;2;2;1;0;4;1;9;6;2;2;2;1;0;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;267;;;Aira praecox
esp;6634;5579;08/70.0.1.2;Apera interrupta (L.) P.Beauv.;méditerranéen(eury);panicule d'épillets;hermaphrodite;;anémogame;caryopse;anémochore;vert;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;9;7;4;3;2;4;1;0;4;4;9;7;3;2;4;1;0;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;Commelinids;Poales;Poaceae;0;0;189;;;Apera interrupta
esp;1646;22944;08/70.0.1.2;Draba nemorosa L.;circumboréal;racème simple;hermaphrodite;;entomogame;silique;épizoochore;jaune;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;3;4;4;3;3;3;0;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Brassicales;Brassicaceae;0;0;1299;;;Draba nemorosa
subsp;3392;79076;08/70.0.1.2;Erodium cicutarium subsp. bipinnatum (Desf.) Tourlet;atlantique(eury);racème de cymes unipares hélicoïdes;hermaphrodite;;entomogame;capsule;autochore;rose;;;;;tver;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;3;3;3;3;4;1;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Geraniales;Geraniaceae;0;0;11016;;;Erodium leb. marcuccii *
esp;3412;25118;08/70.0.1.2;Erodium maritimum (L.) L'Hér.;méditerranéen-atlantique;racème de cymes unipares hélicoïdes;hermaphrodite;;entomogame, autogame;capsule;autochore;blanc, rose;;5-7;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;7;1;4;3;3;4;1;6;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Geraniales;Geraniaceae;0;0;11006;;;Erodium maritimum
esp;30158;75166;08/70.0.1.2;Herniaria glabra L. ;européen;glomérules;hermaphrodite;;entomogame;capsule;barochore;vert;;5-9;;;test(hbis);thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;5;5;3;3;4;2;0;4;1;8;6;5;3;4;2;0;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;1081;;;Herniaria glabra
esp;2092;31803;08/70.0.1.2;Herniaria hirsuta L.;eurasiatique tempéré;glomérules;hermaphrodite;;entomogame;capsule;barochore;vert;;5-8;;;test(hbis);thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;Sperguletalia arvensis Hüppe & Hofmeister 1990;;;9;5;6;4;4;4;2;0;4;1;9;7;7;3;4;1;0;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Caryophyllaceae;0;0;1082;;;Herniaria hirsuta
esp;1408;43211;08/70.0.1.2;Myosotis discolor Pers.;méditerranéen(eury)-atlantique(eury);cyme biscorpioïde;hermaphrodite;homogame;entomogame, autogame;akène;épizoochore;bleu, jaune;;;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;7;4;3;4;4;2;0;4;1;8;7;2;4;4;2;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Boraginales;Boraginaceae;0;0;2449;;;Myosotis discolor
esp;1409;43215;08/70.0.1.2;Myosotis dubia Arrond.;atlantique;cyme biscorpioïde;hermaphrodite;homogame;entomogame, autogame;akène;épizoochore;bleu, jaune;;4-6;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;3;3;4;4;2;0;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Boraginales;Boraginaceae;0;0;12249;;;Myosotis dis. dubia
esp;1426;43346;08/70.0.1.2;Myosotis stricta Link ex Roem. & Schult.;eurasiatique;cyme biscorpioïde;hermaphrodite;;entomogame;akène;épizoochore;bleu;;4-6;;;tver;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;5;3;3;4;2;0;3;1;8;6;5;3;6;2;0;Magnoliopsida;Magnoliidae;Eudicots;Asteranae;Superasterids;;Asterids;Boraginales;Boraginaceae;0;0;2448;;;Myosotis stricta
esp;3102;46566;08/70.0.1.2;Ornithopus perpusillus L.;européen occidental;racème capituliforme;hermaphrodite;;entomogame, autogame;gousse;épizoochore;blanc;;;;;test;thérophytaie;annuelles des tonsures acidophiles, mésothermes, médio-européennes;Teesdalio nudicaulis - Airenalia praecocis de Foucault 1999;;;;;8;6;4;3;3;3;2;0;4;1;7;6;2;3;2;2;0;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Fabales;Fabaceae;0;0;1779;;;Ornithopus perpusillus
