CD_HAB_FIELD;CD_TYPO;LB_HAB_FIELD;FORMAT_HAB_FIELD;DESCRIPT_HAB_FIELD;ORDRE_HAB_FIELD;LENGTH_HAB_FIELD;LB_LABEL;DATE_CREA;DATE_MODIF
132;26;LB_DESCRIPTION;VARCHAR2;Eléments descriptifs de l'habitat;14;50;Description;2014-06-19 11:12:45;2023-04-04 12:35:11
133;26;DISTRIBUTION_GEOGRAPHIQUE;VARCHAR2;Distribution géographique connue de l'habitat;24;50;Distribution géographique;2014-06-19 00:00:00;2023-04-04 12:35:11
134;26;FLORE_CHAR;VARCHAR2;Information sur la flore caractéristique de l'habitat;25;3000;Flore caractéristique;2014-06-19 00:00:00;2023-04-04 12:35:11
135;26;FAUNE_CHAR;VARCHAR2;Information sur la faune caractéristique de l'habitat;26;3000;Faune caractéristique;2014-06-19 00:00:00;2023-04-04 12:35:11
136;26;INFLUENCE_ANTHROPOGENIQUE;VARCHAR2;"Influences potielles des activités humaines sur l&#39;habitat";27;50;Influence anthropogénique;2014-06-19 00:00:00;2023-04-04 12:35:11
139;7;LB_CODE;VARCHAR2;Code EUNIS de l'unité;4;4;Code EUNIS;2014-06-19 00:00:00;2023-04-04 12:35:11
140;7;CD_HAB_SUP;VARCHAR2;"Code HabRef parent (niveau n+1) du code HabRef présent dans le champ ""CD_HAB"".";11;8;Identifiant HabRef du parent;2014-06-19 00:00:00;2023-04-04 12:35:11
141;7;NIVEAU;VARCHAR2;Niveau du code EUNIS correspondant à son nombre de chiffres/lettres, de 1 à 8 (le . marquant la décimale n'est pas pris en compte).;9;1;Niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
142;7;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;8;Intitulé du niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
143;7;FRANCE;BOOLEAN;Présence en France de l'habitat. TRUE = présence, FALSE = absence, ? = présence en France à confirmer.;13;5;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:11
144;7;LB_HAB_FR;VARCHAR2;"Intitulé en français de l&#39;habitat EUNIS.";5;150;Nom en Français;2014-06-19 00:00:00;2023-04-04 12:35:11
146;7;LB_DESCRIPTION;VARCHAR2;"Descriptif en anglais de l&#39;habitat EUNIS dans sa version 2012.";14;4000;Descriptif officiel;2014-06-19 00:00:00;2023-04-04 12:35:11
147;7;LB_HAB_EN;VARCHAR2;"Intitulé en anglais de l'habitat EUNIS. Champ intitulé ""Scientific name"" dans la base EUNIS originelle.";7;255;Nom en anglais;2014-06-19 00:00:00;2023-04-04 12:35:11
150;7;NOTE;VARCHAR2;"Note additionnelle concernant la description ou la source de l'habitat EUNIS. Champ intitulé ""Owntext"" dans la base EUNIS originelle.";18;600;Remarques;2014-06-19 00:00:00;2023-04-04 12:35:11
160;5;LB_CODE;VARCHAR2;Code GMRC. Ce code est constitué d'une succession d'un à cinq numéros séparés par des point. Les premiers trois numéros correspondent aux grands types de complexes récifaux, les deux derniers représentent les unités géomorphologiques.;4;16;Code;2014-06-19 11:12:45;2023-04-04 12:35:11
161;5;CD_HAB_SUP;VARCHAR2;Code de l'habitat parent (supérieur);11;11;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:11
162;5;NIVEAU;NUMBER;Niveau hiérarchique de l'unité;9;22;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
163;5;LB_NIVEAU;VARCHAR2;Intitulé du niveau;10;45;Intitulé du niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
164;5;FRANCE;VARCHAR2;Indication de la présence en France;13;1;Présence en France;2014-06-19 11:12:45;2023-04-04 12:35:11
167;5;CD_GMRC_FINAL;VARCHAR2;Code GMRC final, dit de niveau 5, procuré par la combinaison, unique, d’informations des niveaux 1 à 4. Ce code s'applique uniquement aux codes de niveau 4.;15;4;Code GMRC final;2014-06-19 11:12:45;2023-04-04 12:35:11
169;70;LB_CODE;VARCHAR2;Code de l'habitat : A puis 1 ou 2 chiffres, suivis au maximum de 6 décimales.;4;10;Code Antilles;2014-06-19 11:12:45;2023-04-04 12:35:11
170;70;CD_HAB_SUP;VARCHAR2;"Code HabRef de l'habitat parent (niveau n+1) du code HabRef présent dans le champ ""CD_HAB"".";11;9;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:11
171;70;NIVEAU;VARCHAR2;Niveau de l'habitat correspondant à son nombre de chiffres / lettres, de 1 à 8 (le préfixe A et le . marquant la décimale ne sont pas pris en compte).;9;1;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
174;70;LB_HAB_FR;VARCHAR2;Intitulé français de l'habitat.;5;200;Nom français;2014-06-19 11:12:45;2023-04-04 12:35:11
175;70;LB_HAB_EN;VARCHAR2;Intitulé anglais de l'habitat. Champ créé par souci d'homogénéité avec les autres bases de données habitats, mais non renseigné.;7;200;Nom anglais;2014-06-19 11:12:45;2023-04-04 12:35:11
177;71;LB_CODE;VARCHAR2;Code de l'habitat;4;10;Code Guyane;2014-06-19 11:12:45;2023-04-04 12:35:11
178;71;CD_HAB_SUP;VARCHAR2;"Code HabRef de l'habitat parent (niveau n+1) du code Habref présent dans le champ ""CD_HAB"".";11;9;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:11
179;71;NIVEAU;VARCHAR2;Niveau de l'habitat correspondant à son nombre de chiffres / lettres, de 1 à 8 (le préfixe G et le . marquant la décimale ne sont pas pris en compte).;9;1;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
180;71;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;10;Intitulé du niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
473;28;CD_HAB;NUMBER;Identifiant unique de l'habitat. Non supprimable, et non réutilisable.;1;22;Identifiant HabRef de l'unité;2014-06-19 13:23:53;2023-04-04 12:35:11
182;71;LB_HAB_FR;VARCHAR2;Intitulé français de l'habitat.;5;200;Nom français;2014-06-19 11:12:45;2023-04-04 12:35:11
183;71;LB_HAB_EN;VARCHAR2;Intitulé anglais de l'habitat. Champ créé par souci d'homogénéité avec les autres bases de données habitats, mais non renseigné.;7;200;Nom anglais;2014-06-19 11:12:45;2023-04-04 12:35:11
185;72;LB_CODE;VARCHAR2;Code de l'habitat;4;9;Code Réunion;2014-06-19 11:12:45;2023-04-04 12:35:12
186;72;CD_HAB_SUP;VARCHAR2;"Code HabRef de l'habitat parent (niveau n+1) du code HabRef présent dans le champ ""CD_HAB"".";11;8;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:12
187;72;NIVEAU;VARCHAR2;Niveau de l'habitat.;9;1;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:12
188;72;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;8;Intitulé du niveau;2014-06-19 11:12:45;2023-04-04 12:35:12
370;7;FG_VALIDITE;VARCHAR2;Validité du nom de l'habitat (nom de référence / synonyme).;2;20;Validité;2014-06-19 13:23:53;2023-04-04 12:35:11
190;72;LB_HAB_FR;VARCHAR2;Intitulé français de l'habitat.;5;200;Nom français;2014-06-19 11:12:45;2023-04-04 12:35:12
191;72;LB_HAB_EN;VARCHAR2;Intitulé anglais de l'habitat. Champ créé par souci d'homogénéité avec les autres bases de données habitats, mais non renseigné.;7;200;Nom anglais;2014-06-19 11:12:45;2023-04-04 12:35:12
193;46;LB_CODE;VARCHAR2;Code de l'unité. Le niveau 1 est identifié par une lettre : M pour les habitats des substrats meubles, R pour les habitats des substrats rocheux et P pour les habitats particuliers. Les niveaux 2 à 7 sont identifiés par des chiffres séparés par des points.;4;18;Code;2014-06-19 11:12:45;2023-04-04 12:35:11
194;46;CD_HAB_SUP;VARCHAR2;Code de l'habitat parent (supérieur);11;15;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:11
195;46;NIVEAU;VARCHAR2;Niveau hiérarchique de l'unité;9;1;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
196;46;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;8;Intitulé du niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
197;46;LB_HAB_FR;VARCHAR2;Libellé de l'unité en français;5;180;Libellé;2014-06-19 11:12:45;2023-04-04 12:35:11
469;28;LB_DESCRIPTION;VARCHAR2;"Copie de la rubrique ""Synécologie"" de la fiche descriptive de l&#39;association comme publiée dans la synthèse de classe.";14;4000;Synécologie;2014-06-19 00:00:00;2023-04-04 12:35:11
200;46;FRANCE;VARCHAR2;Indication de la présence en France;13;5;Présence en France;2014-06-19 11:12:45;2023-04-04 12:35:11
202;8;CD_HAB_SUP;VARCHAR2;Identifiant HabRef de l'habitat parent.;11;4;Identifiant HabRef du parent;2014-06-19 11:12:45;2023-04-04 12:35:11
