CD_NOM;Nom scientifique;Indicatrice ZH
73055;Closterium baillyanum var. alpinum (Viret) Gronblad;-
648777;Closterium baillyanum var. multinucleatum (Nordst.) Grönblad, 1919;-
625895;Closterium braunii Reinsch, 1867;-
73056;Closterium calosporum Wittr.;-
648780;Closterium calosporum var. brasiliense Børgesen, 1890;-
73057;Closterium calosporum var. maius W. & G. s. West.;-
720962;Closterium calosporum var. major W. & G.S. West;-
73058;Closterium ceratium Perty;-
648781;Closterium closterioides (Ralfs) A.Louis & Peeters, 1967;-
648782;Closterium closterioides var. intermedium (J.Roy & Bisset) Ruzicka, 1973;-
73059;Closterium cornu Ehrenberg ex Ralfs, 1848;-
648783;Closterium cornu var. brasiliense Börgesen, 1891;-
792084;Closterium cornu var. javanicum Gutw., 1902;-
894956;Closterium cornu var. upsaliense Nordst., 1889;-
73060;Closterium costatum Corda;-
648785;Closterium costatum var. curtum Bréb., 1856;-
648786;Closterium costatum var. westii Cushman, 1905;-
73061;Closterium cynthia De not.;-
625896;Closterium decorum Bréb., 1856;-
648788;Closterium delpontei (Klebs) Wolle, 1885;-
73063;Closterium dianae Ehrenberg ex Ralfs, 1848;-
73064;Closterium dianae var. arcuatum (Brebisson ex Ralfs) Rabenh., 1868;-
648789;Closterium dianae var. brevius (S.P.Petkoff) Willi Krieg., 1935;-
894957;Closterium dianae var. compressum Klebs, 1879;-
648790;Closterium dianae var. minus Hieron., 1895;-
73065;Closterium dianae var. pseudodianae (Roy) Krieg., 1935;-
73066;Closterium didymotocum Corda ex Ralfs, 1848;-
835278;Closterium didymotocum var. brebissonianum Rabenh., 1868;-
625897;Closterium directum W.Archer, 1862;-
884075;Closterium directum var. anastomosum (West & G.S.West) K.Förster, 1981;-
999390;Closterium directum var. recurvatum (Roll) Willi Krieger, 1935;-
648791;Closterium eboracense W.B.Turner in Cooke, 1887;-
73068;Closterium ehrenbergii var. malinvernianum (De Not.) Rabenh., 1868;-
73067;Closterium ehrenbergii Menegh.;-
648792;Closterium ehrenbergii var. atumidum Gronblad, 1935;-
648793;Closterium exiguum West & G.S.West, 1902;-
894958;Closterium exile West & G.S.West, 1905;-
648794;Closterium fusiforme F.Gay, 1884;-
73069;Closterium gracile Bréb. ex Ralfs, 1848;-
73071;Closterium gracile var. tenue (Lemmerm.) West & West, 1902;-
627077;Closterium idiosporum West & G.S.West, 1900;-
73072;Closterium incurvum Breb.;-
73073;Closterium intermedium Ralfs;-
648797;Closterium intermedium var. hibernicum West & G.S.West, 1894;-
73074;Closterium jenneri Ralfs;-
648798;Closterium jenneri var. robustum G.S.West, 1899;-
720323;Closterium johnsonii West & West, 1898;-
73075;Closterium juncidum Ralfs, 1848;-
73692;Closterium juncidum var. elongatum Roy & Bisset, 1894;-
73693;Closterium kuetzingii Breb.;-
648800;Closterium Kützingii var. vittatum Nordst., 1887;-
73694;Closterium lanceolatum Kütz. ex Ralfs, 1848;-
648801;Closterium lanceolatum var. majus Bréb., 1856;-
894959;Closterium lanceolatum var. parvum West & G.S.West, 1897;-
648802;Closterium laterale Nordst., 1880;-
73695;Closterium leibleinii Kuetzing;-
625898;Closterium limneticum Lemmerm., 1899;-
73700;Closterium lineatum Ehrenb.;-
648803;Closterium lineatum var. elongatum (K.Rosa) Croasdale, 1955;-
73701;Closterium littorale Gay, 1884;-
894980;Closterium littorale var. crassum West & G.S.West, 1896;-
73702;Closterium lunula Ehrenb.& Hemprich ex Ralfs, 1848;-
648805;Closterium lunula var. biconvexum Schmidle, 1895;-
999329;Closterium lunula var. intermedium Gutw., 1896;-
720035;Closterium lunula var. massartii (De Wild.) Willi Krieg., 1937;-
73706;Closterium macilentum Breb.;-
648806;Closterium macilentum var. japonicum (Suringar) Willi Krieg., 1935;-
